Time,ASS MY LIST,CT ASSIGN,UNVIEWED
19/10/2025 07:08:34 pm,0,0,0
19/10/2025 07:19:51 pm,0,0,0
19/10/2025 07:42:20 pm,0,0,0
19/10/2025 07:59:42 pm,0,0,0
19/10/2025 08:10:06 pm,1,0,0
19/10/2025 08:19:33 pm,1,0,0
19/10/2025 08:42:51 pm,1,0,0
19/10/2025 08:58:40 pm,1,0,0
19/10/2025 09:07:55 pm,1,0,0
19/10/2025 09:19:44 pm,1,0,0
19/10/2025 09:45:44 pm,1,0,0
19/10/2025 10:06:08 pm,0,0,1
19/10/2025 10:20:09 pm,0,0,1
19/10/2025 10:41:50 pm,0,0,1
19/10/2025 10:58:13 pm,0,0,1
19/10/2025 11:08:24 pm,0,0,1
19/10/2025 11:19:36 pm,0,0,1
19/10/2025 11:48:24 pm,0,0,1
20/10/2025 12:13:59 am,1,0,1
20/10/2025 12:22:42 am,1,0,1
20/10/2025 12:41:12 am,1,0,1
20/10/2025 12:54:19 am,1,0,2
20/10/2025 01:06:10 am,1,0,2
20/10/2025 01:19:50 am,0,0,3
20/10/2025 01:44:59 am,0,0,3
20/10/2025 02:02:25 am,0,0,3
20/10/2025 02:19:32 am,0,0,3
20/10/2025 02:42:18 am,2,0,3
20/10/2025 02:57:08 am,2,0,3
20/10/2025 03:06:10 am,2,0,3
20/10/2025 03:19:28 am,2,0,3
20/10/2025 03:43:31 am,2,0,3
20/10/2025 04:01:48 am,2,0,3
20/10/2025 04:19:29 am,0,1,5
20/10/2025 04:42:55 am,0,1,5
20/10/2025 04:58:24 am,0,1,5
20/10/2025 05:07:55 am,0,1,5
20/10/2025 05:19:45 am,0,0,6
20/10/2025 06:37:29 am,0,0,6
20/10/2025 08:23:14 am,0,0,6
20/10/2025 09:15:25 am,1,0,6
20/10/2025 09:34:42 am,1,0,6
20/10/2025 10:07:36 am,0,0,7
20/10/2025 10:21:28 am,0,0,7
20/10/2025 10:45:28 am,0,0,7
20/10/2025 11:04:36 am,0,0,7
20/10/2025 11:19:08 am,0,0,7
20/10/2025 11:52:01 am,0,0,7
20/10/2025 12:20:27 pm,0,0,7
