Time,ASS MY LIST,CT ASSIGN,Total Cases
12/10/2025 06:38:35 pm,0,0,0
12/10/2025 06:53:23 pm,0,0,0
12/10/2025 07:06:46 pm,0,0,0
12/10/2025 07:19:11 pm,0,0,0
12/10/2025 07:41:49 pm,0,0,0
12/10/2025 07:58:59 pm,0,0,0
12/10/2025 08:08:23 pm,0,0,0
12/10/2025 08:19:31 pm,0,0,0
12/10/2025 08:42:06 pm,0,0,0
12/10/2025 08:57:55 pm,0,0,0
12/10/2025 09:06:55 pm,0,0,0
12/10/2025 09:19:29 pm,0,0,0
12/10/2025 09:45:06 pm,1,0,1
12/10/2025 10:04:35 pm,0,0,0
12/10/2025 10:19:36 pm,0,0,0
12/10/2025 10:41:00 pm,0,0,0
12/10/2025 10:56:58 pm,0,0,0
12/10/2025 11:06:25 pm,0,0,0
12/10/2025 11:19:20 pm,0,0,0
12/10/2025 11:47:51 pm,0,0,0
13/10/2025 12:13:12 am,0,0,0
13/10/2025 12:21:31 am,0,0,0
13/10/2025 12:40:33 am,1,0,1
13/10/2025 12:53:09 am,2,0,2
13/10/2025 01:05:43 am,2,0,2
13/10/2025 01:19:00 am,2,0,2
13/10/2025 01:44:22 am,2,0,2
13/10/2025 02:00:59 am,2,0,2
13/10/2025 02:11:21 am,2,0,2
13/10/2025 02:19:07 am,2,0,2
13/10/2025 02:41:58 am,2,0,2
13/10/2025 02:56:11 am,2,0,2
13/10/2025 03:05:30 am,2,0,2
13/10/2025 03:19:24 am,2,0,2
13/10/2025 03:42:28 am,2,0,2
13/10/2025 04:00:06 am,2,0,2
13/10/2025 04:10:19 am,2,0,2
13/10/2025 04:19:19 am,2,0,2
13/10/2025 04:42:08 am,2,0,2
13/10/2025 04:56:48 am,2,0,2
13/10/2025 05:06:08 am,0,0,0
13/10/2025 05:19:25 am,0,0,0
13/10/2025 06:35:31 am,0,0,0
13/10/2025 08:18:22 am,0,0,0
13/10/2025 09:09:48 am,0,0,0
13/10/2025 09:28:43 am,0,0,0
13/10/2025 09:53:14 am,0,0,0
13/10/2025 10:12:46 am,0,0,0
13/10/2025 10:22:03 am,0,0,0
13/10/2025 10:45:11 am,0,0,0
13/10/2025 11:04:12 am,0,0,0
13/10/2025 11:19:35 am,0,0,0
13/10/2025 11:52:45 am,0,0,0
13/10/2025 12:20:46 pm,0,0,0
13/10/2025 12:45:31 pm,0,0,0
13/10/2025 01:02:06 pm,0,0,0
13/10/2025 01:19:24 pm,0,0,0
13/10/2025 01:51:01 pm,1,0,1
13/10/2025 02:18:19 pm,0,0,0
13/10/2025 02:48:01 pm,0,0,0
13/10/2025 03:12:22 pm,0,0,0
13/10/2025 03:21:23 pm,0,0,0
13/10/2025 03:47:04 pm,0,0,0
13/10/2025 04:13:35 pm,0,0,0
13/10/2025 04:22:39 pm,0,0,0
13/10/2025 04:42:45 pm,0,1,1
13/10/2025 04:57:28 pm,0,1,1
13/10/2025 05:07:16 pm,0,1,1
13/10/2025 05:19:36 pm,0,0,0
13/10/2025 05:58:12 pm,0,0,0
13/10/2025 06:36:52 pm,0,0,0
13/10/2025 07:11:00 pm,4,0,4
13/10/2025 07:22:51 pm,4,0,4
13/10/2025 07:44:56 pm,1,0,1
13/10/2025 08:06:21 pm,0,0,0
13/10/2025 08:21:17 pm,2,0,2
13/10/2025 08:44:30 pm,1,0,1
13/10/2025 09:02:19 pm,0,0,0
13/10/2025 09:19:42 pm,0,0,0
13/10/2025 09:47:25 pm,0,0,0
13/10/2025 10:14:46 pm,4,0,4
13/10/2025 10:24:30 pm,0,0,0
13/10/2025 10:42:53 pm,0,0,0
13/10/2025 10:59:49 pm,2,0,2
13/10/2025 11:11:03 pm,3,0,3
13/10/2025 11:19:07 pm,5,0,5
13/10/2025 11:49:48 pm,3,0,3
14/10/2025 12:16:36 am,3,0,3
14/10/2025 12:40:54 am,1,1,2
14/10/2025 12:53:45 am,2,0,2
14/10/2025 01:05:23 am,2,0,2
14/10/2025 01:19:22 am,5,0,5
14/10/2025 01:46:06 am,2,0,2
14/10/2025 02:03:36 am,4,0,4
14/10/2025 02:19:31 am,4,0,4
14/10/2025 02:42:12 am,4,0,4
14/10/2025 02:56:17 am,5,0,5
14/10/2025 03:04:42 am,5,0,5
14/10/2025 03:19:15 am,8,0,8
14/10/2025 03:43:17 am,6,0,6
14/10/2025 04:01:42 am,6,0,6
14/10/2025 04:19:06 am,6,0,6
14/10/2025 04:43:01 am,0,0,0
14/10/2025 04:57:17 am,0,0,0
14/10/2025 05:06:47 am,0,0,0
14/10/2025 05:19:08 am,1,0,1
14/10/2025 06:31:20 am,0,0,0
14/10/2025 08:09:38 am,0,0,0
14/10/2025 08:54:40 am,0,0,0
14/10/2025 09:17:36 am,0,0,0
14/10/2025 09:46:49 am,0,0,0
14/10/2025 10:11:43 am,0,0,0
14/10/2025 10:20:30 am,0,0,0
14/10/2025 10:44:22 am,0,0,0
14/10/2025 11:02:27 am,0,0,0
14/10/2025 11:19:20 am,0,0,0
14/10/2025 11:51:40 am,0,0,0
14/10/2025 12:18:17 pm,0,0,0
14/10/2025 12:44:58 pm,0,0,0
14/10/2025 01:01:07 pm,0,0,0
14/10/2025 01:12:06 pm,0,0,0
14/10/2025 01:19:53 pm,0,0,0
14/10/2025 01:47:58 pm,1,0,1
14/10/2025 02:14:33 pm,1,0,1
14/10/2025 02:25:25 pm,1,0,1
14/10/2025 02:46:14 pm,0,0,0
14/10/2025 03:10:50 pm,0,0,0
14/10/2025 03:19:34 pm,0,0,0
14/10/2025 03:45:38 pm,0,0,0
14/10/2025 04:07:36 pm,0,0,0
14/10/2025 04:21:23 pm,0,0,0
14/10/2025 04:42:43 pm,0,0,0
14/10/2025 04:57:05 pm,0,0,0
14/10/2025 05:07:17 pm,0,0,0
14/10/2025 05:19:26 pm,0,0,0
14/10/2025 05:59:16 pm,1,0,1
14/10/2025 06:38:23 pm,0,0,0
14/10/2025 07:11:37 pm,0,0,0
14/10/2025 07:23:03 pm,0,0,0
14/10/2025 07:45:39 pm,1,0,1
14/10/2025 08:07:27 pm,0,0,0
14/10/2025 08:23:13 pm,0,0,0
14/10/2025 08:46:10 pm,0,1,1
14/10/2025 09:04:35 pm,0,0,0
14/10/2025 09:19:23 pm,0,0,0
14/10/2025 09:47:42 pm,0,0,0
14/10/2025 10:15:48 pm,0,0,0
14/10/2025 10:25:57 pm,2,0,2
14/10/2025 10:43:34 pm,0,0,0
14/10/2025 10:58:57 pm,0,0,0
14/10/2025 11:09:19 pm,3,1,4
14/10/2025 11:19:31 pm,0,0,0
14/10/2025 11:51:01 pm,3,0,3
15/10/2025 12:17:39 am,5,0,5
15/10/2025 12:41:31 am,3,0,3
15/10/2025 12:55:58 am,0,0,0
15/10/2025 01:05:58 am,0,0,0
15/10/2025 01:19:32 am,3,0,3
15/10/2025 01:45:45 am,3,0,3
15/10/2025 02:03:47 am,3,0,3
15/10/2025 02:19:22 am,3,0,3
15/10/2025 02:42:35 am,6,0,6
15/10/2025 02:57:35 am,2,0,2
15/10/2025 03:06:52 am,1,0,1
15/10/2025 03:18:58 am,1,0,1
15/10/2025 03:43:58 am,1,0,1
15/10/2025 04:02:05 am,2,0,2
15/10/2025 04:19:04 am,2,0,2
15/10/2025 04:42:55 am,0,0,0
15/10/2025 04:58:31 am,0,0,0
15/10/2025 05:07:52 am,0,0,0
15/10/2025 05:19:27 am,0,0,0
15/10/2025 06:32:48 am,0,0,0
15/10/2025 08:13:47 am,0,0,0
15/10/2025 08:58:46 am,0,0,0
15/10/2025 09:20:50 am,0,0,0
15/10/2025 09:47:01 am,0,0,0
15/10/2025 10:12:06 am,0,0,0
15/10/2025 10:21:44 am,0,0,0
15/10/2025 10:44:36 am,0,0,0
15/10/2025 11:02:59 am,0,0,0
15/10/2025 11:19:02 am,0,0,0
15/10/2025 11:51:35 am,0,0,0
15/10/2025 12:18:30 pm,0,0,0
15/10/2025 12:44:56 pm,0,0,0
15/10/2025 01:02:27 pm,0,0,0
15/10/2025 01:19:33 pm,0,0,0
15/10/2025 01:50:14 pm,0,0,0
15/10/2025 02:18:07 pm,0,0,0
15/10/2025 02:45:59 pm,0,0,0
15/10/2025 03:04:48 pm,0,0,0
15/10/2025 03:20:36 pm,0,0,0
15/10/2025 03:46:25 pm,0,0,0
15/10/2025 04:14:17 pm,0,0,0
15/10/2025 04:23:51 pm,0,0,0
15/10/2025 04:42:36 pm,0,0,0
15/10/2025 04:57:03 pm,0,0,0
15/10/2025 05:07:24 pm,0,0,0
15/10/2025 05:19:32 pm,0,0,0
15/10/2025 05:59:46 pm,0,0,0
15/10/2025 06:38:33 pm,0,0,0
15/10/2025 07:13:37 pm,3,0,3
15/10/2025 07:24:28 pm,1,0,1
15/10/2025 07:45:58 pm,0,0,0
15/10/2025 08:09:10 pm,1,0,1
15/10/2025 08:23:22 pm,1,0,1
15/10/2025 08:44:38 pm,1,0,1
15/10/2025 09:00:46 pm,0,0,0
15/10/2025 09:13:05 pm,1,0,1
15/10/2025 09:21:18 pm,1,0,1
15/10/2025 09:45:28 pm,0,0,0
15/10/2025 10:07:21 pm,0,0,0
15/10/2025 10:23:16 pm,1,0,1
15/10/2025 10:43:27 pm,2,0,2
15/10/2025 11:01:05 pm,2,0,2
15/10/2025 11:12:35 pm,1,0,1
15/10/2025 11:20:59 pm,1,0,1
15/10/2025 11:50:55 pm,0,0,0
16/10/2025 12:18:09 am,2,0,2
16/10/2025 12:41:35 am,0,0,0
16/10/2025 12:55:51 am,2,0,2
16/10/2025 01:06:00 am,1,0,1
16/10/2025 01:19:19 am,2,0,2
16/10/2025 01:46:37 am,1,0,1
16/10/2025 02:10:54 am,2,0,2
16/10/2025 02:20:49 am,1,0,1
16/10/2025 02:43:11 am,1,0,1
16/10/2025 02:58:39 am,1,0,1
16/10/2025 03:08:10 am,1,0,1
16/10/2025 03:19:33 am,5,0,5
16/10/2025 03:42:19 am,0,0,0
16/10/2025 04:00:37 am,0,0,0
16/10/2025 04:11:12 am,0,0,0
16/10/2025 04:19:04 am,0,0,0
16/10/2025 04:43:13 am,1,0,1
16/10/2025 04:58:05 am,1,0,1
16/10/2025 05:07:01 am,0,0,0
16/10/2025 05:18:55 am,0,0,0
16/10/2025 06:32:23 am,0,0,0
16/10/2025 08:12:12 am,0,0,0
16/10/2025 08:58:19 am,0,0,0
16/10/2025 09:20:39 am,0,0,0
16/10/2025 09:46:39 am,0,0,0
16/10/2025 10:11:45 am,0,0,0
16/10/2025 10:21:10 am,0,0,0
16/10/2025 10:44:49 am,0,0,0
16/10/2025 11:03:04 am,0,0,0
16/10/2025 11:18:48 am,0,0,0
16/10/2025 11:51:24 am,0,0,0
16/10/2025 12:18:29 pm,0,0,0
16/10/2025 12:44:43 pm,0,0,0
16/10/2025 01:00:55 pm,0,0,0
16/10/2025 01:12:06 pm,0,0,0
16/10/2025 01:20:18 pm,0,0,0
16/10/2025 01:50:45 pm,0,0,0
16/10/2025 02:17:57 pm,0,0,0
16/10/2025 02:46:19 pm,0,0,0
16/10/2025 03:10:58 pm,0,0,0
16/10/2025 03:20:15 pm,0,0,0
16/10/2025 03:46:24 pm,0,0,0
16/10/2025 04:13:17 pm,0,0,0
16/10/2025 04:22:17 pm,0,0,0
16/10/2025 04:42:39 pm,0,0,0
16/10/2025 04:58:00 pm,0,0,0
16/10/2025 05:07:59 pm,0,0,0
16/10/2025 05:19:27 pm,1,0,1
16/10/2025 05:59:09 pm,0,0,0
16/10/2025 06:38:12 pm,2,1,3
16/10/2025 07:13:08 pm,1,0,1
16/10/2025 07:24:05 pm,0,0,0
16/10/2025 07:45:09 pm,0,0,0
16/10/2025 08:07:15 pm,0,0,0
16/10/2025 08:23:06 pm,1,0,1
16/10/2025 08:45:39 pm,0,0,0
16/10/2025 09:04:34 pm,0,0,0
16/10/2025 09:20:27 pm,0,0,0
16/10/2025 09:48:41 pm,0,0,0
16/10/2025 10:15:49 pm,8,0,8
16/10/2025 10:27:01 pm,0,0,0
16/10/2025 10:44:18 pm,1,0,1
16/10/2025 11:02:17 pm,1,0,1
16/10/2025 11:19:20 pm,2,0,2
16/10/2025 11:50:19 pm,0,0,0
17/10/2025 12:18:41 am,2,0,2
17/10/2025 12:41:00 am,0,0,0
17/10/2025 12:54:13 am,1,0,1
17/10/2025 01:06:03 am,7,0,7
17/10/2025 01:19:27 am,0,0,0
17/10/2025 01:46:08 am,3,0,3
17/10/2025 02:04:18 am,0,0,0
17/10/2025 02:18:54 am,0,0,0
17/10/2025 02:42:50 am,1,0,1
17/10/2025 02:56:05 am,4,0,4
17/10/2025 03:05:39 am,6,0,6
17/10/2025 03:19:40 am,0,0,0
17/10/2025 03:41:17 am,0,0,0
17/10/2025 03:58:48 am,0,0,0
17/10/2025 04:09:06 am,0,0,0
17/10/2025 04:19:39 am,0,0,0
17/10/2025 04:43:07 am,0,0,0
17/10/2025 04:55:28 am,0,0,0
17/10/2025 05:05:58 am,0,0,0
17/10/2025 05:19:40 am,1,0,1
17/10/2025 06:32:09 am,0,0,0
17/10/2025 08:10:54 am,0,0,0
17/10/2025 08:55:00 am,5,1,6
17/10/2025 09:17:55 am,0,0,0
17/10/2025 09:47:09 am,0,0,0
17/10/2025 10:12:02 am,0,0,0
17/10/2025 10:20:41 am,0,0,0
17/10/2025 10:44:22 am,0,0,0
17/10/2025 11:02:50 am,0,0,0
17/10/2025 11:18:54 am,0,0,0
17/10/2025 11:50:54 am,0,0,0
17/10/2025 12:17:49 pm,0,0,0
17/10/2025 12:44:20 pm,0,0,0
17/10/2025 01:00:25 pm,0,0,0
17/10/2025 01:11:09 pm,0,0,0
17/10/2025 01:19:36 pm,0,0,0
17/10/2025 01:50:07 pm,0,0,0
17/10/2025 02:15:48 pm,0,0,0
17/10/2025 02:26:33 pm,0,0,0
17/10/2025 02:46:51 pm,0,0,0
17/10/2025 03:09:27 pm,0,0,0
17/10/2025 03:19:15 pm,0,0,0
17/10/2025 03:45:41 pm,0,0,0
17/10/2025 04:06:15 pm,0,0,0
17/10/2025 04:20:07 pm,0,0,0
17/10/2025 04:42:26 pm,0,0,0
17/10/2025 04:56:27 pm,0,0,0
17/10/2025 05:06:43 pm,0,0,0
17/10/2025 05:19:32 pm,0,0,0
17/10/2025 05:58:04 pm,1,0,1
17/10/2025 06:35:09 pm,1,0,1
17/10/2025 07:07:56 pm,0,0,0
17/10/2025 07:20:17 pm,1,0,1
17/10/2025 07:44:35 pm,1,0,1
17/10/2025 08:05:34 pm,0,0,0
17/10/2025 08:20:22 pm,0,0,0
17/10/2025 08:44:33 pm,0,0,0
17/10/2025 09:02:23 pm,1,0,1
17/10/2025 09:19:46 pm,3,0,3
17/10/2025 09:47:28 pm,2,0,2
17/10/2025 10:14:47 pm,2,0,2
17/10/2025 10:24:55 pm,0,0,0
17/10/2025 10:42:16 pm,0,0,0
17/10/2025 11:00:12 pm,1,0,1
17/10/2025 11:10:47 pm,0,0,0
17/10/2025 11:19:05 pm,3,0,3
17/10/2025 11:47:42 pm,3,0,3
18/10/2025 12:15:01 am,0,0,0
18/10/2025 12:24:10 am,1,0,1
18/10/2025 12:41:25 am,1,0,1
18/10/2025 12:54:40 am,2,0,2
18/10/2025 01:05:42 am,2,0,2
18/10/2025 01:19:29 am,2,0,2
18/10/2025 01:45:54 am,3,0,3
18/10/2025 02:03:32 am,8,0,8
18/10/2025 02:19:29 am,0,0,0
18/10/2025 02:42:22 am,0,0,0
18/10/2025 02:58:01 am,0,0,0
18/10/2025 03:07:03 am,0,0,0
18/10/2025 03:19:18 am,0,0,0
18/10/2025 03:43:05 am,2,0,2
18/10/2025 04:01:32 am,2,0,2
18/10/2025 04:19:21 am,2,0,2
18/10/2025 04:42:42 am,2,0,2
18/10/2025 04:57:27 am,2,0,2
18/10/2025 05:06:44 am,1,0,1
18/10/2025 05:18:52 am,2,0,2
18/10/2025 06:29:28 am,1,0,1
18/10/2025 07:49:53 am,0,0,0
18/10/2025 08:38:48 am,0,0,0
18/10/2025 09:08:23 am,0,0,0
18/10/2025 09:21:03 am,3,0,3
18/10/2025 09:46:15 am,0,0,0
18/10/2025 10:04:53 am,0,0,0
18/10/2025 10:19:21 am,0,0,0
18/10/2025 10:43:33 am,0,0,0
18/10/2025 11:01:48 am,0,0,0
18/10/2025 11:19:06 am,0,0,0
18/10/2025 11:48:58 am,0,0,0
18/10/2025 12:14:50 pm,0,0,0
18/10/2025 12:23:42 pm,0,0,0
18/10/2025 12:42:32 pm,0,0,0
18/10/2025 12:57:00 pm,0,0,0
18/10/2025 01:06:10 pm,0,0,0
18/10/2025 01:19:23 pm,0,0,0
18/10/2025 01:47:04 pm,0,0,0
18/10/2025 02:12:16 pm,0,0,0
18/10/2025 02:21:50 pm,0,0,0
18/10/2025 02:43:25 pm,0,0,0
18/10/2025 02:59:22 pm,2,0,2
18/10/2025 03:09:02 pm,0,0,0
18/10/2025 03:19:20 pm,0,0,0
18/10/2025 03:43:44 pm,0,0,0
18/10/2025 04:02:56 pm,0,0,0
18/10/2025 04:19:01 pm,1,0,1
18/10/2025 04:40:48 pm,1,0,1
18/10/2025 04:54:17 pm,1,0,1
18/10/2025 05:05:45 pm,1,0,1
18/10/2025 05:19:34 pm,0,0,0
18/10/2025 05:54:41 pm,0,0,0
